"TIME","GEO","UNIT","PURPOSE","DURATION","PARTNER","Value","Flag and Footnotes"
"2012","Finland","Thousand euro","Total","1 night or over","Domestic","6,169,368.27","b"
"2012","Sweden","Thousand euro","Total","1 night or over","Domestic",":",""
"2012","United Kingdom","Thousand euro","Total","1 night or over","Domestic",":","u"
"2012","Iceland","Thousand euro","Total","1 night or over","Domestic",":",""
"2012","Norway","Thousand euro","Total","1 night or over","Domestic",":",""
"2012","Switzerland","Thousand euro","Total","1 night or over","Domestic","2,010,770.47",""
"2013","Belgium","Thousand euro","Total","1 night or over","Domestic","617,636.77",""
"2013","Bulgaria","Thousand euro","Total","1 night or over","Domestic","364,396.75",""
"2013","Czechia","Thousand euro","Total","1 night or over","Domestic","1,531,006.42",""
"2013","Denmark","Thousand euro","Total","1 night or over","Domestic","4,804,520.51","b"
"2013","Germany (until 1990 former territory of the FRG)","Thousand euro","Total","1 night or over","Domestic","44,184,676.64",""
"2013","Estonia","Thousand euro","Total","1 night or over","Domestic","112,362.95",""
"2013","Ireland","Thousand euro","Total","1 night or over","Domestic","1,169,312.12",""
"2013","Greece","Thousand euro","Total","1 night or over","Domestic","1,283,098.74",""
"2013","Spain","Thousand euro","Total","1 night or over","Domestic","18,074,764.43",""
"2013","France","Thousand euro","Total","1 night or over","Domestic","51,572,598.01",""
"2013","Croatia","Thousand euro","Total","1 night or over","Domestic","946,494.93",""
"2013","Italy","Thousand euro","Total","1 night or over","Domestic","12,981,043.63",""
"2013","Cyprus","Thousand euro","Total","1 night or over","Domestic","178,510.65",""
"2013","Latvia","Thousand euro","Total","1 night or over","Domestic","129,823.3",""
"2013","Lithuania","Thousand euro","Total","1 night or over","Domestic","127,971.46",""
"2013","Luxembourg","Thousand euro","Total","1 night or over","Domestic","10,604.01",""
"2013","Hungary","Thousand euro","Total","1 night or over","Domestic","772,009.03",""
"2013","Malta","Thousand euro","Total","1 night or over","Domestic","23,203.32",""
"2013","Netherlands","Thousand euro","Total","1 night or over","Domestic","2,822,520.51",""
"2013","Austria","Thousand euro","Total","1 night or over","Domestic","4,007,275.57",""
"2013","Poland","Thousand euro","Total","1 night or over","Domestic","7,457,052.22",""
"2013","Portugal","Thousand euro","Total","1 night or over","Domestic","1,081,745.71",""
"2013","Romania","Thousand euro","Total","1 night or over","Domestic","1,513,669.17",""
"2013","Slovenia","Thousand euro","Total","1 night or over","Domestic","196,320.52",""
"2013","Slovakia","Thousand euro","Total","1 night or over","Domestic","565,414.12","b"
"2013","Finland","Thousand euro","Total","1 night or over","Domestic","5,919,928.35",""
"2013","Sweden","Thousand euro","Total","1 night or over","Domestic",":",""
"2013","United Kingdom","Thousand euro","Total","1 night or over","Domestic","23,117,601.46",""
"2013","Iceland","Thousand euro","Total","1 night or over","Domestic",":",""
"2013","Norway","Thousand euro","Total","1 night or over","Domestic",":",""
"2013","Switzerland","Thousand euro","Total","1 night or over","Domestic","2,430,305.47",""
"2014","Belgium","Thousand euro","Total","1 night or over","Domestic","485,537.46",""
"2014","Bulgaria","Thousand euro","Total","1 night or over","Domestic","390,137.25",""
"2014","Czechia","Thousand euro","Total","1 night or over","Domestic","1,402,343.15",""
"2014","Denmark","Thousand euro","Total","1 night or over","Domestic","5,665,295.61","b"
"2014","Germany (until 1990 former territory of the FRG)","Thousand euro","Total","1 night or over","Domestic","41,820,550.83",""
"2014","Estonia","Thousand euro","Total","1 night or over","Domestic","168,807.29",""
"2014","Ireland","Thousand euro","Total","1 night or over","Domestic","1,236,478.93",""
"2014","Greece","Thousand euro","Total","1 night or over","Domestic","1,429,544.95",""
"2014","Spain","Thousand euro","Total","1 night or over","Domestic","17,257,810.15",""
"2014","France","Thousand euro","Total","1 night or over","Domestic","52,649,520.82",""
"2014","Croatia","Thousand euro","Total","1 night or over","Domestic","694,401.85",""
"2014","Italy","Thousand euro","Total","1 night or over","Domestic","10,263,531.78","b"
"2014","Cyprus","Thousand euro","Total","1 night or over","Domestic","191,493.84",""
"2014","Latvia","Thousand euro","Total","1 night or over","Domestic","126,185.56",""
"2014","Lithuania","Thousand euro","Total","1 night or over","Domestic","137,595.08",""
"2014","Luxembourg","Thousand euro","Total","1 night or over","Domestic","14,295.52",""
"2014","Hungary","Thousand euro","Total","1 night or over","Domestic","843,516.59",""
"2014","Malta","Thousand euro","Total","1 night or over","Domestic","30,160.35","b"
"2014","Netherlands","Thousand euro","Total","1 night or over","Domestic","2,947,354.16",""
"2014","Austria","Thousand euro","Total","1 night or over","Domestic","3,771,982.82",""
"2014","Poland","Thousand euro","Total","1 night or over","Domestic","4,048,765.61","b"
"2014","Portugal","Thousand euro","Total","1 night or over","Domestic","1,360,501.17",""
"2014","Romania","Thousand euro","Total","1 night or over","Domestic","1,495,085.61",""
"2014","Slovenia","Thousand euro","Total","1 night or over","Domestic","193,295.13",""
"2014","Slovakia","Thousand euro","Total","1 night or over","Domestic","656,741.33",""
"2014","Finland","Thousand euro","Total","1 night or over","Domestic","5,471,524.82",""
"2014","Sweden","Thousand euro","Total","1 night or over","Domestic","4,160,013.25",""
"2014","United Kingdom","Thousand euro","Total","1 night or over","Domestic",":",""
