"TIME","GEO","UNIT","DURATION","PARTNER","AGE","Value","Flag and Footnotes"
"2012","Sweden","Number","1 night or over","Domestic","65 years or over",":","u"
"2012","United Kingdom","Number","1 night or over","Domestic","Less than 15 years",":",""
"2012","United Kingdom","Number","1 night or over","Domestic","From 15 to 24 years","1,105,000",""
"2012","United Kingdom","Number","1 night or over","Domestic","From 25 to 34 years","2,387,000",""
"2012","United Kingdom","Number","1 night or over","Domestic","From 25 to 44 years","4,631,000",""
"2012","United Kingdom","Number","1 night or over","Domestic","From 35 to 44 years","2,244,000",""
"2012","United Kingdom","Number","1 night or over","Domestic","From 45 to 54 years","2,077,000",""
"2012","United Kingdom","Number","1 night or over","Domestic","From 45 to 64 years","4,577,000",""
"2012","United Kingdom","Number","1 night or over","Domestic","From 55 to 64 years","2,501,000",""
"2012","United Kingdom","Number","1 night or over","Domestic","65 years or over","2,811,000",""
"2012","Iceland","Number","1 night or over","Domestic","Less than 15 years",":",""
"2012","Iceland","Number","1 night or over","Domestic","From 15 to 24 years",":",""
"2012","Iceland","Number","1 night or over","Domestic","From 25 to 34 years",":",""
"2012","Iceland","Number","1 night or over","Domestic","From 25 to 44 years",":",""
"2012","Iceland","Number","1 night or over","Domestic","From 35 to 44 years",":",""
"2012","Iceland","Number","1 night or over","Domestic","From 45 to 54 years",":",""
"2012","Iceland","Number","1 night or over","Domestic","From 45 to 64 years",":",""
"2012","Iceland","Number","1 night or over","Domestic","From 55 to 64 years",":",""
"2012","Iceland","Number","1 night or over","Domestic","65 years or over",":",""
"2012","Norway","Number","1 night or over","Domestic","Less than 15 years",":",""
"2012","Norway","Number","1 night or over","Domestic","From 15 to 24 years",":",""
"2012","Norway","Number","1 night or over","Domestic","From 25 to 34 years",":",""
"2012","Norway","Number","1 night or over","Domestic","From 25 to 44 years",":",""
"2012","Norway","Number","1 night or over","Domestic","From 35 to 44 years",":",""
"2012","Norway","Number","1 night or over","Domestic","From 45 to 54 years",":",""
"2012","Norway","Number","1 night or over","Domestic","From 45 to 64 years",":",""
"2012","Norway","Number","1 night or over","Domestic","From 55 to 64 years",":",""
"2012","Norway","Number","1 night or over","Domestic","65 years or over",":",""
"2012","Switzerland","Number","1 night or over","Domestic","Less than 15 years",":",""
"2012","Switzerland","Number","1 night or over","Domestic","From 15 to 24 years","133,059","u"
"2012","Switzerland","Number","1 night or over","Domestic","From 25 to 34 years","136,739","u"
"2012","Switzerland","Number","1 night or over","Domestic","From 25 to 44 years","247,835","u"
"2012","Switzerland","Number","1 night or over","Domestic","From 35 to 44 years","111,096","u"
